Date,Time,Open,High,Low,Close,Volume
2015.08.07,15:55,1.54374,1.54393,1.54288,1.54311,694
2015.08.07,16:00,1.54313,1.54393,1.54307,1.54359,780
2015.08.07,16:05,1.54360,1.54383,1.54289,1.54309,532
2015.08.07,16:10,1.54310,1.54312,1.54241,1.54291,755
2015.08.07,16:15,1.54292,1.54308,1.54245,1.54265,667
2015.08.07,16:20,1.54264,1.54371,1.54237,1.54367,744
2015.08.07,16:25,1.54368,1.54370,1.54325,1.54359,693
2015.08.07,16:30,1.54362,1.54487,1.54362,1.54411,819
2015.08.07,16:35,1.54411,1.54537,1.54399,1.54537,944
2015.08.07,16:40,1.54537,1.54771,1.54531,1.54683,994
2015.08.07,16:45,1.54684,1.54938,1.54683,1.54757,1045
2015.08.07,16:50,1.54759,1.54772,1.54665,1.54676,929
2015.08.07,16:55,1.54679,1.54738,1.54664,1.54696,778
2015.08.07,17:00,1.54698,1.54735,1.54583,1.54609,817
2015.08.07,17:05,1.54609,1.54717,1.54559,1.54698,860
2015.08.07,17:10,1.54698,1.54698,1.54636,1.54666,701
2015.08.07,17:15,1.54664,1.54664,1.54520,1.54570,732
2015.08.07,17:20,1.54569,1.54672,1.54569,1.54654,640
2015.08.07,17:25,1.54655,1.54723,1.54570,1.54606,705
2015.08.07,17:30,1.54606,1.54651,1.54580,1.54600,651
2015.08.07,17:35,1.54601,1.54621,1.54553,1.54563,491
2015.08.07,17:40,1.54563,1.54630,1.54547,1.54627,510
2015.08.07,17:45,1.54625,1.54770,1.54613,1.54688,745
2015.08.07,17:50,1.54689,1.54760,1.54654,1.54674,682
2015.08.07,17:55,1.54676,1.54696,1.54608,1.54631,529
2015.08.07,18:00,1.54635,1.54703,1.54635,1.54702,651
2015.08.07,18:05,1.54697,1.54705,1.54640,1.54681,630
2015.08.07,18:10,1.54682,1.54751,1.54645,1.54726,579
2015.08.07,18:15,1.54727,1.54781,1.54710,1.54712,384
2015.08.07,18:20,1.54713,1.54733,1.54666,1.54668,463
2015.08.07,18:25,1.54668,1.54721,1.54667,1.54694,505
2015.08.07,18:30,1.54692,1.54759,1.54666,1.54733,469
2015.08.07,18:35,1.54733,1.54763,1.54725,1.54743,297
2015.08.07,18:40,1.54746,1.54760,1.54718,1.54738,344
2015.08.07,18:45,1.54739,1.54766,1.54732,1.54745,392
2015.08.07,18:50,1.54745,1.54786,1.54740,1.54783,317
2015.08.07,18:55,1.54781,1.54784,1.54746,1.54765,303
